Year,Population,GrowthRate,Growth,Location
1951,1554324,0.0423,63031,Chennai
1952,1590811,0.0235,36487,Chennai
1953,1628050,0.0234,37239,Chennai
1954,1666214,0.0234,38164,Chennai
1955,1705272,0.0234,39058,Chennai
1956,1745302,0.0235,40030,Chennai
1957,1786158,0.0234,40856,Chennai
1958,1828028,0.0234,41870,Chennai
1959,1870880,0.0234,42852,Chennai
1960,1914797,0.0235,43917,Chennai
1961,1975964,0.0319,61167,Chennai
1962,2073166,0.0492,97202,Chennai
1963,2175149,0.0492,101983,Chennai
1964,2282300,0.0493,107151,Chennai
1965,2394412,0.0491,112112,Chennai
1966,2512198,0.0492,117786,Chennai
1967,2635778,0.0492,123580,Chennai
1968,2765620,0.0493,129842,Chennai
1969,2901475,0.0491,135855,Chennai
1970,3044204,0.0492,142729,Chennai
1971,3180089,0.0446,135885,Chennai
1972,3278944,0.0311,98855,Chennai
1973,3380588,0.031,101644,Chennai
1974,3485529,0.031,104941,Chennai
1975,3593728,0.031,108199,Chennai
1976,3705441,0.0311,111713,Chennai
1977,3820305,0.031,114864,Chennai
1978,3938896,0.031,118591,Chennai
1979,4061169,0.031,122273,Chennai
1980,4187412,0.0311,126243,Chennai
1981,4307334,0.0286,119922,Chennai
1982,4410695,0.024,103361,Chennai
1983,4516536,0.024,105841,Chennai
1984,4625068,0.024,108532,Chennai
1985,4735899,0.024,110831,Chennai
1986,4849544,0.024,113645,Chennai
1987,4965916,0.024,116372,Chennai
1988,5085247,0.024,119331,Chennai
1989,5207105,0.024,121858,Chennai
1990,5332057,0.024,124952,Chennai
1991,5455152,0.0231,123095,Chennai
1992,5571369,0.0213,116217,Chennai
1993,5689731,0.0212,118362,Chennai
1994,5810777,0.0213,121046,Chennai
1995,5934398,0.0213,123621,Chennai
1996,6060824,0.0213,126426,Chennai
1997,6189585,0.0212,128761,Chennai
1998,6321265,0.0213,131680,Chennai
1999,6455746,0.0213,134481,Chennai
2000,6593279,0.0213,137533,Chennai
2001,6744032,0.0229,150753,Chennai
2002,6920243,0.0261,176211,Chennai
2003,7101058,0.0261,180815,Chennai
2004,7286857,0.0262,185799,Chennai
2005,7476986,0.0261,190129,Chennai
2006,7672348,0.0261,195362,Chennai
2007,7872815,0.0261,200467,Chennai
2008,8078807,0.0262,205992,Chennai
2009,8289599,0.0261,210792,Chennai
2010,8506193,0.0261,216594,Chennai
2011,8728447,0.0261,222254,Chennai
2012,8956508,0.0261,228061,Chennai
2013,9190528,0.0261,234020,Chennai
2014,9430663,0.0261,240135,Chennai
2015,9677072,0.0261,246409,Chennai
2016,9929919,0.0261,252847,Chennai
2017,10189373,0.0261,259454,Chennai
2018,10455606,0.0261,266233,Chennai
2019,10711243,0.0244,255637,Chennai
2020,10971108,0.0243,259865,Chennai
2021,11235018,0.0241,263910,Chennai
